rank	file	index	id	title	answer	final_sentence	changed	old_explanation	new_explanation
1	data/lessons/cards_seed_v1.json	7	L06_json_loads_001	JSON 문자열을 dict로 바꾸기	LiDAR	따라서 출력은 ‘LiDAR’이다.	YES	"json.loads()가 JSON 문자열을 dict로 바꾸고, row[""label""]로 값을 꺼낸다. JSON 문자열을 dict로 바꾸려면 json.loads를 사용한다. 문자열 형식이 올바른 JSON인지 확인하고, 파싱 실패 가능성도 함께 고려해야 한다."	"json.loads()가 JSON 문자열을 dict로 바꾸고, row[""label""]로 값을 꺼낸다. JSON 문자열을 dict로 바꾸려면 json.loads를 사용한다. 문자열 형식이 올바른 JSON인지 확인하고, 파싱 실패 가능성도 함께 고려해야 한다. 따라서 출력은 ‘LiDAR’이다."
2	data/lessons/cards_seed_v1.json	6	L05_function_chain_001	함수 호출 결과 따라가기	lidar	따라서 출력은 ‘lidar’이다.	YES	strip()이 문자열 양쪽 공백을 먼저 제거하고, lower()가 남은 문자열을 소문자로 바꾸므로 정리된 소문자 값이 출력된다. 체인 형태에서는 왼쪽 메서드의 결과가 오른쪽 메서드의 입력이 된다고 순서대로 따라가면 된다.	strip()이 문자열 양쪽 공백을 먼저 제거하고, lower()가 남은 문자열을 소문자로 바꾸므로 정리된 소문자 값이 출력된다. 체인 형태에서는 왼쪽 메서드의 결과가 오른쪽 메서드의 입력이 된다고 순서대로 따라가면 된다. 따라서 출력은 ‘lidar’이다.
3	data/lessons/python_beginner_mixed_review_v96_a1.json	8	PYV96_A1_REVIEW_008_IF_FALSE_NO_ELSE	False인 if와 else 없음	아무것도 출력되지 않음	따라서 화면에는 아무것도 출력되지 않는다. 보기 표현으로는 ‘아무것도 출력되지 않음’이 맞다.	YES	50 >= 60은 False이고 else가 없으므로 출력이 없다. 이 문제는 초급 파이썬 코드를 한 줄씩 읽는 복습 문제다. 정답을 고를 때는 문법 이름을 외우는 것보다 실행 순서, 변수의 현재 값, 조건의 True/False, 반복 중 바뀌는 값, 자료구조에 남는 값을 확인해야 한다. 특히 print되는 값과 변수에 저장되는 값은 다를 수 있고, 함수는 호출될 때 실행되어 return 값을 돌려준다.	50 >= 60은 False이고 else가 없으므로 출력이 없다. 이 문제는 초급 파이썬 코드를 한 줄씩 읽는 복습 문제다. 정답을 고를 때는 문법 이름을 외우는 것보다 실행 순서, 변수의 현재 값, 조건의 True/False, 반복 중 바뀌는 값, 자료구조에 남는 값을 확인해야 한다. 특히 print되는 값과 변수에 저장되는 값은 다를 수 있고, 함수는 호출될 때 실행되어 return 값을 돌려준다. 따라서 화면에는 아무것도 출력되지 않는다. 보기 표현으로는 ‘아무것도 출력되지 않음’이 맞다.
4	data/lessons/python_beginner_mixed_review_v96_a1.json	17	PYV96_A1_REVIEW_017_FOR_APPEND	반복으로 리스트 만들기	[2, 4, 6]	따라서 출력은 ‘[2, 4, 6]’이다.	YES	1, 2, 3을 각각 두 배로 만들어 추가한다. 이 문제는 초급 파이썬 코드를 한 줄씩 읽는 복습 문제다. 정답을 고를 때는 문법 이름을 외우는 것보다 실행 순서, 변수의 현재 값, 조건의 True/False, 반복 중 바뀌는 값, 자료구조에 남는 값을 확인해야 한다. 특히 print되는 값과 변수에 저장되는 값은 다를 수 있고, 함수는 호출될 때 실행되어 return 값을 돌려준다.	1, 2, 3을 각각 두 배로 만들어 추가한다. 이 문제는 초급 파이썬 코드를 한 줄씩 읽는 복습 문제다. 정답을 고를 때는 문법 이름을 외우는 것보다 실행 순서, 변수의 현재 값, 조건의 True/False, 반복 중 바뀌는 값, 자료구조에 남는 값을 확인해야 한다. 특히 print되는 값과 변수에 저장되는 값은 다를 수 있고, 함수는 호출될 때 실행되어 return 값을 돌려준다. 따라서 출력은 ‘[2, 4, 6]’이다.
5	data/lessons/python_beginner_mixed_review_v96_a1.json	26	PYV96_A1_REVIEW_026_FUNCTION_NOT_CALLED	함수 정의만 있고 호출 없음	아무것도 출력되지 않음	따라서 화면에는 아무것도 출력되지 않는다. 보기 표현으로는 ‘아무것도 출력되지 않음’이 맞다.	YES	hello() 호출이 없으므로 print가 실행되지 않는다. 이 문제는 초급 파이썬 코드를 한 줄씩 읽는 복습 문제다. 정답을 고를 때는 문법 이름을 외우는 것보다 실행 순서, 변수의 현재 값, 조건의 True/False, 반복 중 바뀌는 값, 자료구조에 남는 값을 확인해야 한다. 특히 print되는 값과 변수에 저장되는 값은 다를 수 있고, 함수는 호출될 때 실행되어 return 값을 돌려준다.	hello() 호출이 없으므로 print가 실행되지 않는다. 이 문제는 초급 파이썬 코드를 한 줄씩 읽는 복습 문제다. 정답을 고를 때는 문법 이름을 외우는 것보다 실행 순서, 변수의 현재 값, 조건의 True/False, 반복 중 바뀌는 값, 자료구조에 남는 값을 확인해야 한다. 특히 print되는 값과 변수에 저장되는 값은 다를 수 있고, 함수는 호출될 때 실행되어 return 값을 돌려준다. 따라서 화면에는 아무것도 출력되지 않는다. 보기 표현으로는 ‘아무것도 출력되지 않음’이 맞다.
6	data/lessons/python_foundation_beginner_v94_a1_part2.json	12	PYF94_A1_L01_TYPE_012	앞자리 0과 int 변환	7	따라서 출력은 ‘7’이다.	YES	int()는 문자열을 숫자값으로 바꾸므로 숫자의 의미에 영향을 주지 않는 앞자리 0은 표시되지 않는다. 이 문제는 값이 문자열인지 숫자인지, 그리고 변환 함수가 적용되었는지를 확인하는 초급 독해 연습이다. 정답은 보기의 모양이 아니라 실제 파이썬 실행 규칙이 만든 값이다. 특히 문자열의 표시 모양이 숫자 변환 뒤에도 그대로 남는다고 생각하는 부분을 조심해야 한다. 비슷한 코드를 만났을 때도 먼저 따옴표 여부, input() 결과의 자료형, int()나 str() 같은 변환 함수, print가 보여 주는 최종 값을 차례대로 확인하면 안전하게 판단할 수 있다. 이 흐름은 나중에 사용자 입력, 설정값, 파일에서 읽은 문자열 데이터를 처리할 때 그대로 이어진다.	int()는 문자열을 숫자값으로 바꾸므로 숫자의 의미에 영향을 주지 않는 앞자리 0은 표시되지 않는다. 이 문제는 값이 문자열인지 숫자인지, 그리고 변환 함수가 적용되었는지를 확인하는 초급 독해 연습이다. 정답은 보기의 모양이 아니라 실제 파이썬 실행 규칙이 만든 값이다. 특히 문자열의 표시 모양이 숫자 변환 뒤에도 그대로 남는다고 생각하는 부분을 조심해야 한다. 비슷한 코드를 만났을 때도 먼저 따옴표 여부, input() 결과의 자료형, int()나 str() 같은 변환 함수, print가 보여 주는 최종 값을 차례대로 확인하면 안전하게 판단할 수 있다. 이 흐름은 나중에 사용자 입력, 설정값, 파일에서 읽은 문자열 데이터를 처리할 때 그대로 이어진다. 따라서 출력은 ‘7’이다.
7	data/lessons/python_foundation_beginner_v94_a1_part2.json	13	PYF94_A1_L01_INPUT_001	입력값 저장하기	Python	따라서 정답은 ‘Python’이다.	YES	input()은 사용자가 입력한 값을 문자열로 받아 name에 저장하고, print(name)은 그 저장된 값을 보여 준다. 이 문제는 값이 문자열인지 숫자인지, 그리고 변환 함수가 적용되었는지를 확인하는 초급 독해 연습이다. 정답은 보기의 모양이 아니라 실제 파이썬 실행 규칙이 만든 값이다. 특히 안내 문구가 변수에 저장된다고 생각하는 부분을 조심해야 한다. 비슷한 코드를 만났을 때도 먼저 따옴표 여부, input() 결과의 자료형, int()나 str() 같은 변환 함수, print가 보여 주는 최종 값을 차례대로 확인하면 안전하게 판단할 수 있다. 이 흐름은 나중에 사용자 입력, 설정값, 파일에서 읽은 문자열 데이터를 처리할 때 그대로 이어진다.	input()은 사용자가 입력한 값을 문자열로 받아 name에 저장하고, print(name)은 그 저장된 값을 보여 준다. 이 문제는 값이 문자열인지 숫자인지, 그리고 변환 함수가 적용되었는지를 확인하는 초급 독해 연습이다. 정답은 보기의 모양이 아니라 실제 파이썬 실행 규칙이 만든 값이다. 특히 안내 문구가 변수에 저장된다고 생각하는 부분을 조심해야 한다. 비슷한 코드를 만났을 때도 먼저 따옴표 여부, input() 결과의 자료형, int()나 str() 같은 변환 함수, print가 보여 주는 최종 값을 차례대로 확인하면 안전하게 판단할 수 있다. 이 흐름은 나중에 사용자 입력, 설정값, 파일에서 읽은 문자열 데이터를 처리할 때 그대로 이어진다. 따라서 정답은 ‘Python’이다.
8	data/lessons/python_foundation_beginner_v94_a1_part2.json	19	PYF94_A1_L01_INPUT_007	입력값 공백 정리하기	hi	따라서 정답은 ‘hi’이다.	YES	text에는 공백이 포함된 문자열이 들어가지만 strip() 결과를 clean에 저장했기 때문에 양쪽 공백이 제거된다. 이 문제는 값이 문자열인지 숫자인지, 그리고 변환 함수가 적용되었는지를 확인하는 초급 독해 연습이다. 정답은 보기의 모양이 아니라 실제 파이썬 실행 규칙이 만든 값이다. 특히 strip이 원본과 결과를 구분하지 않아도 된다고 생각하는 부분을 조심해야 한다. 비슷한 코드를 만났을 때도 먼저 따옴표 여부, input() 결과의 자료형, int()나 str() 같은 변환 함수, print가 보여 주는 최종 값을 차례대로 확인하면 안전하게 판단할 수 있다. 이 흐름은 나중에 사용자 입력, 설정값, 파일에서 읽은 문자열 데이터를 처리할 때 그대로 이어진다.	text에는 공백이 포함된 문자열이 들어가지만 strip() 결과를 clean에 저장했기 때문에 양쪽 공백이 제거된다. 이 문제는 값이 문자열인지 숫자인지, 그리고 변환 함수가 적용되었는지를 확인하는 초급 독해 연습이다. 정답은 보기의 모양이 아니라 실제 파이썬 실행 규칙이 만든 값이다. 특히 strip이 원본과 결과를 구분하지 않아도 된다고 생각하는 부분을 조심해야 한다. 비슷한 코드를 만났을 때도 먼저 따옴표 여부, input() 결과의 자료형, int()나 str() 같은 변환 함수, print가 보여 주는 최종 값을 차례대로 확인하면 안전하게 판단할 수 있다. 이 흐름은 나중에 사용자 입력, 설정값, 파일에서 읽은 문자열 데이터를 처리할 때 그대로 이어진다. 따라서 정답은 ‘hi’이다.
9	data/lessons/python_foundation_expansion_v10.json	11	PY10_L04_scope_local_001	local scope 읽기	inside	따라서 출력은 ‘inside’이다.	YES	함수 안에서 만든 변수는 보통 그 함수 안의 지역 변수로 동작한다. outer 함수 안의 local value가 return되어 바깥 값과 구분된다. 지역 변수는 함수 호출이 끝나면 보통 사라지므로 다른 함수나 전역 코드와 이름 충돌을 줄인다.	함수 안에서 만든 변수는 보통 그 함수 안의 지역 변수로 동작한다. outer 함수 안의 local value가 return되어 바깥 값과 구분된다. 지역 변수는 함수 호출이 끝나면 보통 사라지므로 다른 함수나 전역 코드와 이름 충돌을 줄인다. 따라서 출력은 ‘inside’이다.
10	data/lessons/python_foundation_expansion_v10.json	16	PY10_L05_json_loads_001	json.loads 문자열 파싱	2	따라서 출력은 ‘2’이다.	YES	json.loads는 JSON 형식의 문자열을 파이썬 dict나 list로 바꾼다. 변환된 dict에서 count key의 값을 꺼낼 수 있다. 문자열이 올바른 JSON 형식이 아니면 파싱 오류가 나므로 입력 형식 검증이 필요하다.	json.loads는 JSON 형식의 문자열을 파이썬 dict나 list로 바꾼다. 변환된 dict에서 count key의 값을 꺼낼 수 있다. 문자열이 올바른 JSON 형식이 아니면 파싱 오류가 나므로 입력 형식 검증이 필요하다. 따라서 출력은 ‘2’이다.
