level	file	id	title	reading_goal	code	question	answer	explanation	project_context	question_type	concepts
3	cards_seed_v1.json	L03_dict_001	dict에서 key로 값 꺼내기	"node[""kind""]가 kind 값을 꺼낸다는 것을 읽는다."	"node = {""label"": ""LiDAR"", ""kind"": ""Sensor""}\nprint(node[____])"	Sensor를 출력하려면 빈칸에 어떤 key를 넣어야 할까?	"""kind"""	"빈칸에는 value인 ""Sensor""가 아니라 그 값을 찾는 key인 ""kind""를 넣어야 한다. 그러면 node[""kind""]가 ""Sensor""를 꺼내고 print가 Sensor를 출력한다. dict 문제에서는 대괄호 안에 넣는 key와 그 key로 꺼낸 value를 구분해야 한다. 대괄호 접근은 key가 없으면 KeyError가 나므로, key가 없을 수도 있을 때는 get()을 고려한다."	KG 노드 하나는 dict 형태로 표현되는 경우가 많다.	blank	"[""print"",""dict"",""key"",""value""]"
3	cards_seed_v1.json	L03_get_001	dict.get() 읽기	"row.get(""doc_id"")가 doc_id 값을 안전하게 꺼내려는 코드임을 읽는다."	"row = {""label"": ""Radar""}\nvalue = row.get(""doc_id"", ""NO_DOC"")\nprint(value)"	row.get('doc_id', 'NO_DOC')의 출력은?	NO_DOC	row 안에 doc_id key가 없기 때문에 get()은 두 번째 인자로 준 기본값 'NO_DOC'을 반환한다. dict.get은 key가 없을 때 오류를 내지 않고 기본값을 돌려준다. 설정값이나 선택 필드를 읽을 때 안전한 fallback을 만들기 좋다.	실제 데이터에는 빠진 필드가 있을 수 있어서 get()이 자주 쓰인다.	output_prediction	"[""print"",""dict"",""get"",""missing_key""]"
3	python_beginner_mixed_review_v96_a1.json	PYV96_A1_REVIEW_025_FUNCTION_RETURN	함수 return 복습	함수 호출 argument가 parameter에 들어가고 return 값이 변수에 저장되는 흐름을 읽는다.	def add(a, b):\n    return a + b\n\nresult = add(2, 5)\nprint(result)	출력 결과는?	7	a는 2, b는 5이고 return 값 7이 result에 저장된다. 함수 코드는 정의와 호출을 구분한 뒤 argument가 parameter에 들어가는 순간, 함수 안의 계산, return으로 돌아오는 값을 차례로 연결하면 바깥 코드의 결과까지 추적할 수 있다.	함수는 초급에서 중급으로 넘어가는 핵심 연결 개념이다.	output_prediction	"[""print"",""def"",""function"",""return""]"
3	python_beginner_mixed_review_v96_a1.json	PYV96_A1_REVIEW_026_FUNCTION_NOT_CALLED	함수 정의만 있고 호출 없음	함수는 정의만으로 본문이 실행되지 않고 호출될 때 실행된다는 점을 읽는다.	"def hello():\n    print(""hi"")"	화면 출력으로 맞는 것은?	아무것도 출력되지 않음	hello() 호출이 없으므로 print가 실행되지 않는다. 따라서 화면에는 아무것도 출력되지 않는다. 보기 표현으로는 ‘아무것도 출력되지 않음’이 맞다.	def와 call의 차이는 함수 독해의 기본이다.	output_prediction	"[""print"",""def"",""function"",""call""]"
3	python_beginner_mixed_review_v96_a1.json	PYV96_A1_REVIEW_027_FUNCTION_IF	함수 안 조건문	함수 안 조건문에서 어떤 return이 실행되는지 따라간다.	"def label(score):\n    if score >= 60:\n        return ""pass""\n    return ""retry""\n\nprint(label(50))"	출력 결과는?	retry	50은 60 이상이 아니므로 아래 return retry가 실행된다. 함수 코드는 정의와 호출을 구분한 뒤 argument가 parameter에 들어가는 순간, 함수 안의 계산, return으로 돌아오는 값을 차례로 연결하면 바깥 코드의 결과까지 추적할 수 있다.	조건이 있는 함수는 입력값에 따라 다른 결과를 돌려준다.	output_prediction	"[""def"",""print"",""function"",""if"",""return""]"
3	python_beginner_mixed_review_v96_a1.json	PYV96_A1_REVIEW_028_FUNCTION_LIST_SUM	함수 안 반복 합계	함수 안 반복문이 리스트 합계를 만들고 return하는 흐름을 읽는다.	def total(nums):\n    result = 0\n    for n in nums:\n        result = result + n\n    return result\n\nprint(total([1, 2, 3]))	total([1, 2, 3])이 return하는 값은?	6	total 함수는 result를 0에서 시작한 뒤 nums의 값을 하나씩 더한다. 1, 2, 3을 차례대로 더하면 result는 6이 되고, return result가 그 값을 함수 밖으로 돌려준다. print(total([1, 2, 3]))은 반환된 6을 화면에 출력한다. 이 카드는 반복 합계 과정과 return 값을 분리해서 읽는 연습이다.	함수, 반복, 리스트가 섞인 기본 패턴이다.	output_prediction	"[""def"",""print"",""function"",""for"",""return"",""list""]"
3	python_beginner_mixed_review_v96_a1.json	PYV96_A1_REVIEW_029_DICT_COUNT_PATTERN	딕셔너리 개수 세기 패턴	반복하면서 딕셔너리 get 기본값과 +1 누적을 함께 읽는다.	"counts = {}\nfor ch in ""aba"":\n    counts[ch] = counts.get(ch, 0) + 1\nprint(counts[""a""])"	출력 결과는?	2	a는 두 번 나오므로 counts['a']는 2다. for에서는 반복 대상에서 값이 어떤 순서로 변수에 들어오는지 보고, 각 반복에서 실행되는 계산이나 출력까지 한 번씩 적용하면 최종 결과를 안정적으로 판단할 수 있다.	빈도 세기 패턴은 중급 데이터 처리의 입구다.	output_prediction	"[""print"",""dict"",""get"",""for"",""count""]"
3	python_beginner_mixed_review_v96_a1.json	PYV96_A1_REVIEW_030_SORTED_REVIEW	sorted 복습	sorted 결과 리스트에서 첫 번째 값을 꺼내는 흐름을 읽는다.	nums = [3, 1, 2]\nordered = sorted(nums)\nprint(ordered[0])	출력 결과는?	1	정렬 결과는 [1, 2, 3]이고 index 0은 1이다. 정렬 코드는 원본 값과 sorted가 만든 새 순서를 구분하고, 정렬된 결과가 다음 반복이나 index 접근에 어떻게 전달되는지 차례로 보면 최종 순서를 판단할 수 있다.	정렬 후 인덱스로 값을 고르는 코드는 자주 등장한다.	output_prediction	"[""print"",""sorted"",""list"",""index""]"
3	python_beginner_mixed_review_v96_a1.json	PYV96_A1_REVIEW_031_ENUMERATE_REVIEW	enumerate 복습	enumerate가 번호와 값을 함께 주고 start=1이면 첫 번호가 1이 되는 흐름을 읽는다.	"names = [""A"", ""B""]\nfor i, name in enumerate(names, start=1):\n    print(i, name)"	enumerate(names, start=1)에서 첫 번째 번호는 무엇인가?	1	enumerate(names, start=1)은 번호를 0이 아니라 1부터 붙인다. names의 첫 번째 값은 A이고, 그때 i는 1이다. 그래서 실제 첫 줄 출력은 1 A가 되지만, 이 카드는 그중 start=1이 번호를 어떻게 바꾸는지에 초점을 둔다. 값 A와 번호 1을 따로 읽으면 enumerate 흐름을 더 쉽게 확인할 수 있다.	번호 붙은 목록을 만들 때 자주 쓰이는 패턴이다.	output_prediction	"[""print"",""enumerate"",""for"",""index""]"
3	python_beginner_mixed_review_v96_a1.json	PYV96_A1_REVIEW_032_TRY_EXCEPT_REVIEW	try/except 복습	int 변환 실패가 except로 이동하고 기본값이 저장되는 흐름을 읽는다.	"try:\n    number = int(""x"")\nexcept ValueError:\n    number = 0\nprint(number)"	출력 결과는?	0	int('x')가 정수 변환에 실패해 ValueError를 발생시키므로 except 블록이 number를 0으로 설정한다. 그 뒤 try/except 바깥의 print(number)가 0을 출력한다. 기본값 0이 실제 입력 0과 실패를 구분하지 못할 수 있다는 점은 실전 함수 계약에서 따로 고려한다.	입력값을 안전하게 처리하는 코드에서 예외 처리는 기본이다.	output_prediction	"[""try_except"",""print"",""try"",""except"",""int""]"
3	python_broad_expansion_v3.json	PY3_L03_join_001	join()으로 문자열 합치기	리스트의 문자열들을 하나의 문자열로 합치는 코드를 읽는다.	"items = [""UAM"", ""ADAS"", ""Robotics""]\ntext = "" | "".join(items)\nprint(text)"	출력은?	구분자로 이어진 UAM | ADAS | Robotics	join은 리스트 안의 문자열들을 하나의 문자열로 합칠 때 쓴다. 이때 join 앞에 있는 문자열이 각 항목 사이에 들어가는 구분자 역할을 한다. 예를 들어 ','.join(items)는 쉼표로 이어 붙이고, ''.join(items)는 구분자 없이 바로 붙인다. join은 숫자 리스트가 아니라 문자열 목록을 합치는 도구이므로, 항목이 모두 문자열인지도 함께 확인해야 한다. 따라서 출력은 ‘구분자로 이어진 UAM | ADAS | Robotics’이다.	태그, 로그 메시지, 요약 문장을 만들 때 자주 쓰인다.	output_prediction	"[""print"",""str"",""join"",""list""]"
3	python_broad_expansion_v3.json	PY3_L03_split_001	split()으로 문자열 나누기	문자열을 구분자로 나누어 리스트로 만드는 코드를 읽는다.	"text = ""LiDAR,Radar,UAM""\nitems = text.split("","")\nprint(items[1])"	출력은?	Radar	split(',')은 문자열을 쉼표 기준으로 나누어 리스트를 만든다. 그래서 'LiDAR,Radar,UAM'은 0번 LiDAR, 1번 Radar, 2번 UAM 순서의 리스트가 된다. split 결과는 문자열 하나가 아니라 리스트이므로 이후 인덱스로 꺼내거나 반복문으로 하나씩 처리할 수 있다. 기준 문자를 무엇으로 주었는지에 따라 나뉘는 위치가 달라진다.	단순 구분 문자열이나 로그 한 줄에는 쓸 수 있지만, 따옴표·이스케이프 규칙이 있는 실제 CSV는 csv 모듈로 읽어야 한다.	output_prediction	"[""print"",""str"",""split"",""list""]"
3	python_broad_expansion_v3.json	PY3_L03_strip_001	strip()으로 공백 제거	strip()으로 공백 제거 코드에서 strip 관련 값이 어떤 순서로 바뀌고 최종 결과로 이어지는지 확인한다.	"raw = ""  LiDAR  ""\nlabel = raw.strip()\nprint(label)"	출력 의미는?	양쪽 공백이 제거된 LiDAR	strip()은 문자열 앞뒤의 공백과 줄바꿈을 제거한 새 문자열을 만든다. 사용자가 입력한 값이나 파일에서 읽은 텍스트를 정리할 때 자주 쓴다. 중요한 점은 중간 공백은 그대로 두고 양끝만 정리한다는 것이다. 원본 문자열을 직접 바꾸는 것이 아니라 정리된 결과를 반환하므로, 그 값을 변수에 저장하거나 다음 비교에 사용하는지 확인해야 한다. 따라서 출력은 ‘양쪽 공백이 제거된 LiDAR’이다.	라벨 정규화와 중복 제거에서 매우 자주 쓰인다.	output_prediction	"[""print"",""str"",""strip"",""normalization""]"
3	python_core_expansion_v1.json	PY_L03_in_001	in으로 포함 여부 확인	"""LiDAR"" in text가 문자열 포함 여부를 확인하는 코드임을 읽는다."	"text = ""LiDAR sensor data""\n\nif ""LiDAR"" in text:\n    print(""found"")"	이 코드가 출력하는 것은?	found	"in 연산자는 어떤 값이 문자열, 리스트, set 같은 자료 안에 포함되어 있는지 확인한다. text 안에 'LiDAR'가 있으므로 조건은 True가 되고 print(""found"")가 실행되어 found가 출력된다. 문자열 검색은 대소문자를 구분하므로 실제 코드에서는 lower() 같은 정규화가 적용됐는지도 확인해야 한다."	문서 안에 특정 키워드가 있는지 확인할 때 쓰인다.	output_prediction	"[""print"",""in"",""list"",""str"",""if""]"
3	python_core_expansion_v1.json	PY_L03_items_001	dict.items() 읽기	dict.items()가 key와 value를 함께 꺼내는 구조임을 읽는다.	"node = {""label"": ""LiDAR"", ""kind"": ""Sensor""}\n\nfor key, value in node.items():\n    print(key, value)"	dict.items()는 반복할 때 무엇을 제공하는가?	(key, value) 쌍	items()는 딕셔너리의 각 항목을 (key, value) 쌍으로 제공한다. for key, value in node.items()는 그 두 값을 key와 value 변수에 나누어 담고, print가 label LiDAR와 kind Sensor를 차례로 출력한다. items()가 직접 출력하는 것이 아니라 반복문 본문의 print가 출력한다는 점을 구분해야 한다.	JSON 필드 전체를 점검할 때 유용하다.	meaning_choice	"[""print"",""dict"",""items"",""for""]"
3	python_core_expansion_v1.json	PY_L03_slice_001	리스트 슬라이싱 읽기	items[1:3]이 1번부터 3번 전까지 자르는 코드임을 읽는다.	"items = [""A"", ""B"", ""C"", ""D""]\nprint(items[1:3])"	리스트 슬라이싱 [1:3]은 어느 범위를 가져오는가?	"[""B"", ""C""]"	"리스트 슬라이싱 [1:3]은 1번 인덱스부터 시작해서 3번 인덱스 바로 전까지 가져온다. 끝 인덱스 값 자체는 포함하지 않는다. 그래서 시작은 포함, 끝은 제외라는 규칙을 먼저 기억해야 한다. 슬라이싱은 원본 리스트 전체가 아니라 일부 구간을 새로 가져오는 문법이다. 시작, 끝, 간격을 차례로 확인하면 어떤 항목이 선택되는지 안정적으로 예측할 수 있다. 따라서 출력은 ‘[""B"", ""C""]’이다."	샘플 일부만 확인하거나 리스트 일부를 잘라볼 때 쓰인다.	output_prediction	"[""print"",""list"",""slicing"",""index""]"
3	python_core_gaps_v99_a1.json	PYV99_A1_GAP_001_MIN_SMALLEST	min으로 가장 작은 값 찾기	min이 리스트 안의 값 중 가장 작은 값을 돌려주는 흐름을 읽는다.	scores = [7, 3, 9]\nprint(min(scores))	출력 결과는?	3	min(scores)는 iterable의 원소를 비교해 가장 작은 값 3을 반환하며 원본 리스트의 순서를 바꾸지 않는다. 비교 가능한 원소가 하나 이상 있어야 하며, 빈 iterable에 default 없이 min을 호출하면 ValueError가 난다.	점수, 길이, 비용 같은 숫자 목록에서 가장 작은 값을 찾을 때 쓰인다.	output_prediction	"[""print"",""min"",""list"",""builtin""]"
3	python_core_gaps_v99_a1.json	PYV99_A1_GAP_002_ABS_DISTANCE	abs로 차이의 크기 읽기	abs가 음수 방향을 지우고 크기만 남기는 흐름을 읽는다.	diff = 2 - 7\nprint(abs(diff))	출력 결과는?	5	diff는 -5이고 abs(-5)는 방향을 제외한 크기 5를 돌려준다. 두 값의 거리나 차이를 양수로 볼 때 자주 쓴다. abs는 음수와 양수의 부호를 제거해 차이의 크기만 남긴다. 거리, 오차, 변화량처럼 방향보다 크기가 중요한 값을 비교할 때 쓴다. ‘abs로 차이의 크기 읽기’에서는 abs이 적용되는 줄과 그 전후의 변수 값을 위에서 아래로 연결해 보면 질문에서 요구한 최종 결과가 어떻게 만들어지는지 확인할 수 있다.	예측값과 실제값의 차이를 크기로 비교할 때 abs를 쓸 수 있다.	output_prediction	"[""print"",""abs"",""number"",""builtin""]"
3	python_core_gaps_v99_a1.json	PYV99_A1_GAP_003_ROUND_FLOAT	round로 소수 반올림 읽기	round가 소수 값을 가까운 정수로 둥글게 만드는 흐름을 읽는다.	value = 3.6\nprint(round(value))	출력 결과는?	4	3.6은 4에 더 가까워 round(3.6)이 정수 4를 반환한다. 원본 value는 바뀌지 않는다. Python의 round는 정확히 중간인 값에서 무조건 위로 올리는 규칙이 아니라 가장 가까운 짝수 쪽을 고르는 규칙을 쓰며, 이진 부동소수점 표현 때문에 소수 반올림이 예상과 다를 수도 있다.	평균 점수나 진행률을 보기 좋게 표시할 때 round를 사용할 수 있다.	output_prediction	"[""print"",""round"",""float"",""builtin""]"
3	python_core_gaps_v99_a1.json	PYV99_A1_GAP_004_ANY_TRUE	any로 하나라도 참인지 확인하기	any가 조건 목록 중 하나라도 True이면 True를 돌려주는 흐름을 읽는다.	flags = [False, True, False]\nprint(any(flags))	출력 결과는?	True	any(flags)는 원소를 왼쪽부터 truth value로 검사해 하나라도 참이면 즉시 True를 반환한다. 둘째 원소가 True이므로 결과는 True다. 모든 원소가 거짓이거나 iterable이 비어 있으면 any는 False이며, 모든 원소가 참이어야 하는 all과 기준이 다르다.	검증 항목 중 하나라도 통과했는지 확인하는 코드에서 자주 쓰인다.	output_prediction	"[""print"",""any"",""bool"",""condition""]"
3	python_core_gaps_v99_a1.json	PYV99_A1_GAP_005_ISINSTANCE_STR	isinstance로 타입 확인하기	문자열 숫자와 실제 숫자를 isinstance로 구분하는 흐름을 읽는다.	"value = ""7""\nprint(isinstance(value, int))"	출력 결과는?	False	value는 따옴표가 있는 문자열 '7'이다. 겉보기에는 숫자처럼 보여도 파이썬이 보는 자료형은 str이므로 isinstance(value, int)는 False를 반환한다. isinstance는 값이 특정 자료형인지 확인하는 함수다. 숫자 계산이나 조건 분기 전에 실제 자료형을 확인할 때 유용하다. 문자열 숫자와 진짜 숫자는 출력 모양이 비슷해도 연산 방식이 달라질 수 있다.	입력값이 문자열인지 숫자인지 확인해야 하는 검증 코드에서 중요하다.	output_prediction	"[""print"",""isinstance"",""type"",""str"",""int""]"
3	python_core_gaps_v99_a1.json	PYV99_A1_GAP_006_STARTSWITH_PREFIX	startswith로 시작 글자 확인하기	startswith가 문자열이 특정 접두어로 시작하는지 True/False로 알려주는 흐름을 읽는다.	"name = ""python.py""\nprint(name.startswith(""py""))"	출력 결과는?	True	문자열 python.py의 시작 부분이 정확히 py와 일치하므로 True다. startswith는 기본적으로 대소문자를 구분하고 문자열 전체를 파싱하지 않는다. 여러 접두사를 허용하려면 startswith(('py', 'test_'))처럼 tuple을 전달할 수 있다. ‘startswith로 시작 글자 확인하기’에서는 startswith이 적용되는 줄과 그 전후의 변수 값을 위에서 아래로 연결해 보면 질문에서 요구한 최종 결과가 어떻게 만들어지는지 확인할 수 있다.	파일명이나 태그가 특정 접두어로 시작하는지 검사할 때 쓰인다.	output_prediction	"[""print"",""startswith"",""string"",""prefix""]"
3	python_core_gaps_v99_a1.json	PYV99_A1_GAP_007_ENDSWITH_SUFFIX	endswith로 파일 확장자 확인하기	endswith가 문자열이 특정 접미어로 끝나는지 확인하는 흐름을 읽는다.	"filename = ""cards.json""\nprint(filename.endswith("".json""))"	출력 결과는?	True	문자열 cards.json이 정확히 .json으로 끝나므로 True다. endswith는 대소문자를 구분하는 문자열 끝 비교일 뿐, 파일이 실제로 존재하거나 내용이 유효한 JSON인지 확인하지 않는다. 파일 경로의 확장자 부품이 필요할 때는 Path.suffix도 고려한다.	JSON 파일만 골라 읽는 스크립트에서 확장자 검사에 자주 쓰인다.	output_prediction	"[""print"",""endswith"",""string"",""suffix""]"
3	python_core_gaps_v99_a1.json	PYV99_A1_GAP_008_FIND_INDEX	find로 처음 나오는 위치 찾기	find가 찾는 글자의 시작 위치를 숫자로 돌려주는 흐름을 읽는다.	"word = ""robotics""\nprint(word.find(""bot""))"	출력 결과는?	2	robotics에서 bot은 r, o 다음 위치인 index 2에서 시작한다. find는 위치 숫자를 돌려준다. find는 문자열에서 특정 글자나 단어가 처음 나오는 위치를 돌려준다. 못 찾으면 -1이므로 바로 인덱스로 쓰기 전에 결과를 확인해야 한다.	문자열 안에서 특정 조각이 어디에 있는지 확인할 때 쓰인다.	output_prediction	"[""print"",""find"",""string"",""index""]"
3	python_core_gaps_v99_a1.json	PYV99_A1_GAP_009_FIND_MISSING	find가 못 찾으면 -1	find가 문자열을 찾지 못할 때 -1을 돌려주는 흐름을 읽는다.	"word = ""python""\nprint(word.find(""z""))"	출력 결과는?	-1	python 안에는 z가 없으므로 find('z')는 -1을 돌려준다. False가 아니라 숫자 -1이라는 점을 구분한다. find가 값을 찾지 못하면 -1을 돌려준다. 이 값을 실제 위치처럼 사용하면 마지막 글자 접근 같은 버그가 생길 수 있어 분기 처리가 필요하다.	검색 결과가 없을 때의 처리 흐름을 읽는 데 필요하다.	output_prediction	"[""print"",""find"",""string"",""missing""]"
3	python_core_gaps_v99_a1.json	PYV99_A1_GAP_010_FSTRING_VALUE	f-string으로 값 넣어 출력하기	f-string의 중괄호 안 변수값이 문자열 안으로 들어가는 흐름을 읽는다.	"name = ""Mina""\nscore = 3\nprint(f""{name}:{score}"")"	출력 결과는?	Mina:3	f-string에서는 중괄호 안의 name과 score가 현재 변수 값으로 바뀐다. 그래서 문자열 안에 Mina와 3이 들어가 Mina:3 형태가 출력된다. 중괄호 안은 단순 글자가 아니라 먼저 계산되는 표현식이다. f-string은 로그, 상태 메시지, 디버깅 출력에서 자주 쓰인다. 따옴표 안에 있어도 f가 붙어 있으면 변수 값이 문자열에 삽입된다는 점을 구분해야 한다.	로그나 상태 메시지를 만들 때 f-string을 자주 사용한다.	output_prediction	"[""print"",""f-string"",""string"",""format""]"
