severity	code	file	index	id	title	answer	question	detail	explanation_preview
MEDIUM	ANSWER_NOT_EXPLICIT_IN_EXPLANATION	data\lessons\cards_seed_v1.json	6	L05_function_chain_001	함수 호출 결과 따라가기	lidar	strip().lower()를 차례로 적용한 최종 출력은?	해설에서 정답 표현을 직접 찾기 어렵다.	strip()이 문자열 양쪽 공백을 먼저 제거하고, lower()가 남은 문자열을 소문자로 바꾸므로 정리된 소문자 값이 출력된다. 체인 형태에서는 왼쪽 메서드의 결과가 오른쪽 메서드의 입력이 된다고 순서대로 따라가면 된다.
MEDIUM	ANSWER_NOT_EXPLICIT_IN_EXPLANATION	data\lessons\cards_seed_v1.json	7	L06_json_loads_001	JSON 문자열을 dict로 바꾸기	LiDAR	이 코드의 출력은?	해설에서 정답 표현을 직접 찾기 어렵다. 해설에 언급된 보기 후보: label	"json.loads()가 JSON 문자열을 dict로 바꾸고, row[""label""]로 값을 꺼낸다. JSON 문자열을 dict로 바꾸려면 json.loads를 사용한다. 문자열 형식이 올바른 JSON인지 확인하고, 파싱 실패 가능성도 함께 고려해야 한다."
MEDIUM	ANSWER_NOT_EXPLICIT_IN_EXPLANATION	data\lessons\cards_seed_v1.json	9	L07_pipeline_001	load-filter-write 구조 읽기	nodes.jsonl에서 Sensor 노드만 골라 sensor_nodes.jsonl로 저장한다.	main()에서 실행되는 처리 순서는?	해설에서 정답 표현을 직접 찾기 어렵다.	main() 함수 안에서 load, filter, write가 순서대로 호출된다. 그래서 데이터 읽기, 거르기, 쓰기의 파이프라인 흐름이 만들어진다. 이런 구조는 입력, 처리, 출력 단계를 분리해 디버깅과 테스트를 쉽게 만든다.
MEDIUM	ANSWER_NOT_EXPLICIT_IN_EXPLANATION	data\lessons\cards_seed_v1.json	10	L08_reverse_import_001	import 목록으로 기능 추론하기	파일 경로와 명령어 옵션을 받아 JSON 데이터를 처리하는 스크립트	이 import 목록을 보고 가장 그럴듯한 프로그램 기능은?	해설에서 정답 표현을 직접 찾기 어렵다.	json은 JSON 처리, argparse는 CLI 옵션, pathlib은 경로 처리에 자주 쓰인다. import 목록을 보면 코드가 어떤 기능을 사용할지 거꾸로 추론할 수 있다. pathlib, json, re처럼 가져온 모듈이 이후 흐름의 힌트가 된다.
MEDIUM	ANSWER_NOT_EXPLICIT_IN_EXPLANATION	data\lessons\cards_seed_v1.json	12	L10_risk_001	불안정한 코드 위험 찾기	doc_id가 없는 줄이면 에러가 난다	이 코드가 불안정할 수 있는 이유를 고르시오.	해설에서 정답 표현을 직접 찾기 어렵다.	row['doc_id']처럼 대괄호 접근을 쓰면 해당 key가 없는 데이터에서 KeyError가 날 수 있다. 불안정한 코드 위험은 당장 오류가 나지 않아도 나중에 실패할 수 있는 부분을 찾는 것이다. 입력값, 예외 처리, 파일 존재 여부를 함께 봐야 한다.
MEDIUM	ANSWER_NOT_EXPLICIT_IN_EXPLANATION	data\lessons\python_accessibility_a11y_ui_v52.json	5	PY52_L07_screen_reader_text_001	screen reader text 읽기	시각적으로 부족한 정보를 보조기기 사용자에게 제공하기 위해	screen reader text의 목적은?	해설에서 정답 표현을 직접 찾기 어렵다.	screen reader text는 화면 낭독기가 읽을 수 있도록 제공하는 보조 텍스트다. 정답, 오답, 상태 변화 같은 정보는 색상만으로 전달하면 안 된다. 보조 텍스트를 넣으면 시각 정보에 의존하지 않고도 현재 상태를 이해할 수 있다.
MEDIUM	ANSWER_NOT_EXPLICIT_IN_EXPLANATION	data\lessons\python_accessibility_a11y_ui_v52.json	6	PY52_L08_color_contrast_001	color contrast 읽기	글자가 배경과 구분되지 않아 읽기 어려워진다	color contrast가 부족하면 생기는 문제는?	해설에서 정답 표현을 직접 찾기 어렵다.	color contrast는 글자와 배경의 밝기 차이가 충분한지 보는 기준이다. 학습카드는 긴 설명을 읽어야 하므로 대비와 가독성이 중요하다. 대비가 낮으면 시력이 좋은 사용자도 오래 읽을 때 피로해지고, 저시력 사용자에게는 접근성이 크게 떨어진다.
MEDIUM	ANSWER_NOT_EXPLICIT_IN_EXPLANATION	data\lessons\python_accessibility_a11y_ui_v52.json	9	PY52_L08_form_label_001	form label 읽기	입력창의 목적을 사용자와 보조기기가 알 수 있게 하기 위해	form label이 필요한 이유는?	해설에서 정답 표현을 직접 찾기 어렵다.	form label은 검색창, 필터, 난이도 선택 같은 입력 UI가 무엇을 뜻하는지 알려주는 이름이다. 명확한 label이 있어야 보조기기도 의미를 읽을 수 있다.
MEDIUM	ANSWER_NOT_EXPLICIT_IN_EXPLANATION	data\lessons\python_accessibility_a11y_ui_v52.json	11	PY52_L09_tab_order_001	tab order 읽기	키보드 사용자가 예측 가능한 순서로 이동해야 하기 때문에	tab order가 자연스러워야 하는 이유는?	해설에서 정답 표현을 직접 찾기 어렵다.	tab order는 Tab 키를 눌렀을 때 포커스가 이동하는 순서다. 카드 선택지보다 다음 버튼이 먼저 잡히면 학습 흐름이 어색해질 수 있다. 키보드 사용자는 tab order만 따라 화면을 이동하므로 시각적 흐름과 포커스 순서가 맞아야 한다.
MEDIUM	ANSWER_NOT_EXPLICIT_IN_EXPLANATION	data\lessons\python_accessibility_a11y_ui_v52.json	13	PY52_L09_error_message_accessibility_001	error message accessibility 읽기	입력창과 설명 또는 오류 메시지를 연결하기 위해	aria-describedby의 목적은?	해설에서 정답 표현을 직접 찾기 어렵다.	진도 import 실패 같은 오류는 사용자가 원인을 알 수 있게 연결되어야 한다. 접근성 있는 오류 메시지는 사용자가 무엇이 잘못되었고 어떻게 고치면 되는지 알 수 있게 해야 한다. 화면 표시뿐 아니라 스크린리더가 읽을 수 있는지도 함께 고려해야 한다.
