rank	score	review_class	file	index	id	title	answer	question	detail	priority_reason	review_note	explanation
1	170	HIGH_PRIORITY_REVIEW	data/lessons/python_foundation_level2_v94_a2_part1.json	13	PYF94_A2_L02_IF_013	문자열 대소문자 비교	check	answer가 Yes일 때 이 코드가 출력하는 값은 무엇인가?	해설에서 정답 표현을 직접 찾기 어렵다.	초급/기초 카드, 정답이 짧아 해설 직접 연결 필요, 코드 결과/흐름 독해형, print/return 결과형	짧은 출력/결과 정답은 해설이 정답을 명확히 말하는지 우선 확인	Yes와 yes는 대소문자가 다르므로 비교 결과가 False가 되어 else가 실행된다. 이 문제는 Level 2에서 조건문이나 리스트 상태를 직접 추적하는 연습이다. 정답은 보기의 익숙한 단어가 아니라, 변수 값과 실행 흐름이 실제로 만든 결과다. 특히 대소문자가 자동으로 같게 처리된다고 생각하는 부분을 조심해야 한다. 비슷한 코드를 만났을 때도 먼저 변수에 저장된 값, 비교식의 True/False 결과, 들여쓰기된 블록의 실행 여부, 리스트에 들어 있는 현재 값을 순서대로 확인하면 안전하게 판단할 수 있다. 이 독해 습관은 나중에 필터링, 검색 결과 처리, 사용자 입력 검증, 데이터 목록 처리 코드로 그대로 이어진다.
2	170	HIGH_PRIORITY_REVIEW	data/lessons/python_foundation_level2_v94_a2_part1.json	16	PYF94_A2_L02_IF_016	들여쓰기 블록 구분	A 다음 B	ready가 True일 때 출력 순서로 맞는 것은 무엇인가?	해설에서 정답 표현을 직접 찾기 어렵다.	초급/기초 카드, 정답이 짧아 해설 직접 연결 필요, 코드 결과/흐름 독해형, print/return 결과형	짧은 출력/결과 정답은 해설이 정답을 명확히 말하는지 우선 확인	"ready가 True라서 A가 출력되고, 들여쓰기 밖의 print(""B"")도 이어서 실행된다. 이 문제는 Level 2에서 조건문이나 리스트 상태를 직접 추적하는 연습이다. 정답은 보기의 익숙한 단어가 아니라, 변수 값과 실행 흐름이 실제로 만든 결과다. 특히 들여쓰기 밖의 줄까지 if 안쪽으로 보는 부분을 조심해야 한다. 비슷한 코드를 만났을 때도 먼저 변수에 저장된 값, 비교식의 True/False 결과, 들여쓰기된 블록의 실행 여부, 리스트에 들어 있는 현재 값을 순서대로 확인하면 안전하게 판단할 수 있다. 이 독해 습관은 나중에 필터링, 검색 결과 처리, 사용자 입력 검증, 데이터 목록 처리 코드로 그대로 이어진다."
3	170	HIGH_PRIORITY_REVIEW	data/lessons/python_foundation_level2_v94_a2_part2.json	9	PYF94_A2_L02_LOOP_009	문자열 반복	a 다음 b	문자열 반복: 출력 순서로 맞는 것은 무엇인가?	해설에서 정답 표현을 직접 찾기 어렵다.	초급/기초 카드, 정답이 짧아 해설 직접 연결 필요, 코드 결과/흐름 독해형, print/return 결과형	짧은 출력/결과 정답은 해설이 정답을 명확히 말하는지 우선 확인	문자열 ab를 반복하면 첫 글자 a와 둘째 글자 b가 차례대로 나온다. 이 문제는 Level 2에서 반복문 또는 문자열 메서드의 실행 흐름을 직접 추적하는 연습이다. 정답은 보기의 익숙한 모양이 아니라, 코드가 실제로 반복하며 만든 값이나 문자열 메서드가 반환한 결과다. 특히 문자열 전체가 한 번에만 출력된다고 생각하는 부분을 조심해야 한다. 비슷한 코드를 만났을 때도 먼저 반복 대상, 반복 변수의 순서, append나 누적 변수의 변화, split/strip/replace/lower/upper 같은 메서드가 만든 새 값을 차례대로 확인하면 안전하게 판단할 수 있다. 이 독해 습관은 파일에서 읽은 줄 처리, 사용자 입력 정리, 검색어 정규화, 데이터 목록 가공 코드로 그대로 이어진다.
4	170	HIGH_PRIORITY_REVIEW	data/lessons/python_foundation_level2_v94_a2_part2.json	18	PYF94_A2_L02_STR_002	공백 split	'blue'가 된다	공백 split: items[1]의 출력은 무엇인가?	해설에서 정답 표현을 직접 찾기 어렵다.	초급/기초 카드, 정답이 짧아 해설 직접 연결 필요, 코드 결과/흐름 독해형, print/return 결과형	짧은 출력/결과 정답은 해설이 정답을 명확히 말하는지 우선 확인	text.split()은 red와 blue 두 조각을 만들고 1번 인덱스는 blue이다. 이 문제는 Level 2에서 반복문 또는 문자열 메서드의 실행 흐름을 직접 추적하는 연습이다. 정답은 보기의 익숙한 모양이 아니라, 코드가 실제로 반복하며 만든 값이나 문자열 메서드가 반환한 결과다. 특히 split 후에도 원래 문자열 전체가 남는다고 생각하는 부분을 조심해야 한다. 비슷한 코드를 만났을 때도 먼저 반복 대상, 반복 변수의 순서, append나 누적 변수의 변화, split/strip/replace/lower/upper 같은 메서드가 만든 새 값을 차례대로 확인하면 안전하게 판단할 수 있다. 이 독해 습관은 파일에서 읽은 줄 처리, 사용자 입력 정리, 검색어 정규화, 데이터 목록 가공 코드로 그대로 이어진다.
5	170	HIGH_PRIORITY_REVIEW	data/lessons/python_foundation_level2_v94_a2_part2.json	27	PYF94_A2_L02_STR_011	split 후 반복	A 다음 B	split 후 반복: 출력 순서로 맞는 것은 무엇인가?	해설에서 정답 표현을 직접 찾기 어렵다.	초급/기초 카드, 정답이 짧아 해설 직접 연결 필요, 코드 결과/흐름 독해형, print/return 결과형	짧은 출력/결과 정답은 해설이 정답을 명확히 말하는지 우선 확인	split 결과는 A와 B의 리스트이고 for문이 이를 차례로 출력한다. 이 문제는 Level 2에서 반복문 또는 문자열 메서드의 실행 흐름을 직접 추적하는 연습이다. 정답은 보기의 익숙한 모양이 아니라, 코드가 실제로 반복하며 만든 값이나 문자열 메서드가 반환한 결과다. 특히 split 결과를 반복 대상 리스트로 보지 못하는 부분을 조심해야 한다. 비슷한 코드를 만났을 때도 먼저 반복 대상, 반복 변수의 순서, append나 누적 변수의 변화, split/strip/replace/lower/upper 같은 메서드가 만든 새 값을 차례대로 확인하면 안전하게 판단할 수 있다. 이 독해 습관은 파일에서 읽은 줄 처리, 사용자 입력 정리, 검색어 정규화, 데이터 목록 가공 코드로 그대로 이어진다.
6	170	HIGH_PRIORITY_REVIEW	data/lessons/python_foundation_level3_v95_a1_functions.json	1	PYF95_A1_FUNC_001_DEF_CALL_PRINT	함수 정의 후 호출 출력	'hi'가 출력된다	출력 결과로 맞는 것은?	해설에서 정답 표현을 직접 찾기 어렵다.	초급/기초 카드, 정답이 짧아 해설 직접 연결 필요, 코드 결과/흐름 독해형, print/return 결과형	짧은 출력/결과 정답은 해설이 정답을 명확히 말하는지 우선 확인	"hello 함수는 마지막 줄 hello()에서 호출될 때 print(""hi"")가 실행된다. 이 문제는 Level 3에서 함수 정의와 함수 호출을 분리해서 읽는 연습이다. def 줄은 코드를 묶어 이름을 붙이는 단계이고, 실제 실행은 함수 이름 뒤에 괄호를 붙여 호출하는 줄에서 일어난다. 정답을 고를 때는 함수 안으로 들어가기 전에 먼저 호출 줄의 argument 값을 확인하고, 그 값이 parameter 이름에 들어간다고 생각한 뒤 함수 본문을 한 줄씩 따라가야 한다. 또 print는 화면 출력이고 return은 호출한 자리로 값을 돌려주는 동작이라는 점을 구분해야 한다. 출력된 글자와 변수에 저장된 값이 서로 다를 수 있으므로 실제 실행 흐름을 기준으로 판단한다."
7	170	HIGH_PRIORITY_REVIEW	data/lessons/python_foundation_level3_v95_a1_functions.json	7	PYF95_A1_FUNC_007_PRINT_VS_RETURN_NONE	print만 있는 함수의 반환값	A 다음 None	출력 흐름으로 맞는 것은?	해설에서 정답 표현을 직접 찾기 어렵다.	초급/기초 카드, 정답이 짧아 해설 직접 연결 필요, 코드 결과/흐름 독해형, print/return 결과형	짧은 출력/결과 정답은 해설이 정답을 명확히 말하는지 우선 확인	show()가 A를 출력하고 return이 없어서 result에는 None이 들어간다. 이 문제는 Level 3에서 함수 정의와 함수 호출을 분리해서 읽는 연습이다. def 줄은 코드를 묶어 이름을 붙이는 단계이고, 실제 실행은 함수 이름 뒤에 괄호를 붙여 호출하는 줄에서 일어난다. 정답을 고를 때는 함수 안으로 들어가기 전에 먼저 호출 줄의 argument 값을 확인하고, 그 값이 parameter 이름에 들어간다고 생각한 뒤 함수 본문을 한 줄씩 따라가야 한다. 또 print는 화면 출력이고 return은 호출한 자리로 값을 돌려주는 동작이라는 점을 구분해야 한다. 출력된 글자와 변수에 저장된 값이 서로 다를 수 있으므로 실제 실행 흐름을 기준으로 판단한다.
8	170	HIGH_PRIORITY_REVIEW	data/lessons/python_foundation_level3_v95_a1_functions.json	12	PYF95_A1_FUNC_012_RETURN_STOPS_AFTER	return 뒤 줄은 실행되지 않음	'A'가 출력된다	출력 결과로 맞는 것은?	해설에서 정답 표현을 직접 찾기 어렵다.	초급/기초 카드, 정답이 짧아 해설 직접 연결 필요, 코드 결과/흐름 독해형, print/return 결과형	짧은 출력/결과 정답은 해설이 정답을 명확히 말하는지 우선 확인	"return ""A""에서 함수가 끝나므로 print(""B"")는 실행되지 않는다. 이 문제는 Level 3에서 함수 정의와 함수 호출을 분리해서 읽는 연습이다. def 줄은 코드를 묶어 이름을 붙이는 단계이고, 실제 실행은 함수 이름 뒤에 괄호를 붙여 호출하는 줄에서 일어난다. 정답을 고를 때는 함수 안으로 들어가기 전에 먼저 호출 줄의 argument 값을 확인하고, 그 값이 parameter 이름에 들어간다고 생각한 뒤 함수 본문을 한 줄씩 따라가야 한다. 또 print는 화면 출력이고 return은 호출한 자리로 값을 돌려주는 동작이라는 점을 구분해야 한다. 출력된 글자와 변수에 저장된 값이 서로 다를 수 있으므로 실제 실행 흐름을 기준으로 판단한다."
9	170	HIGH_PRIORITY_REVIEW	data/lessons/python_foundation_level3_v95_a2_dict_tuple_set.json	7	PYF95_A2_DTS_007_DICT_KEYS_LIST	keys를 리스트로 보기	['a', 'b']	출력 결과로 맞는 것은?	해설에서 정답 표현을 직접 찾기 어렵다.	초급/기초 카드, 정답이 짧아 해설 직접 연결 필요, 코드 결과/흐름 독해형, print/return 결과형	짧은 출력/결과 정답은 해설이 정답을 명확히 말하는지 우선 확인	keys는 a와 b 같은 key만 보여준다. 이 문제는 Level 3에서 자료구조의 모양과 접근 방식을 분리해서 읽는 연습이다. dict는 key로 value를 찾고, tuple은 순서가 있는 묶음이며, set은 중복 없는 값 모음이다. 정답을 고를 때는 코드가 값을 새로 만드는지, 기존 값을 바꾸는지, key로 꺼내는지, 반복문으로 key와 value를 함께 읽는지 확인해야 한다. 특히 대괄호 접근, get 기본값, keys와 values와 items의 차이, tuple unpacking, set의 중복 제거를 실제 실행 순서대로 따라간다.
10	170	HIGH_PRIORITY_REVIEW	data/lessons/python_foundation_level3_v95_a2_dict_tuple_set.json	10	PYF95_A2_DTS_010_DICT_FOR_KEYS	dict를 for로 반복하면 key가 들어온다	A 다음 B	출력 순서로 맞는 것은?	해설에서 정답 표현을 직접 찾기 어렵다.	초급/기초 카드, 정답이 짧아 해설 직접 연결 필요, 코드 결과/흐름 독해형, print/return 결과형	짧은 출력/결과 정답은 해설이 정답을 명확히 말하는지 우선 확인	dict를 직접 반복하면 key인 A와 B가 차례로 나온다. 이 문제는 Level 3에서 자료구조의 모양과 접근 방식을 분리해서 읽는 연습이다. dict는 key로 value를 찾고, tuple은 순서가 있는 묶음이며, set은 중복 없는 값 모음이다. 정답을 고를 때는 코드가 값을 새로 만드는지, 기존 값을 바꾸는지, key로 꺼내는지, 반복문으로 key와 value를 함께 읽는지 확인해야 한다. 특히 대괄호 접근, get 기본값, keys와 values와 items의 차이, tuple unpacking, set의 중복 제거를 실제 실행 순서대로 따라간다.
