kind	id	batch	language	source_file	field	before	after
lesson	L01_len_001	PILOT_01	ko	data/lessons/cards_seed_v1.json	explanation	"""items 리스트에는 값이 3개 들어 있으므로 len(items)는 리스트 안의 원소 개수를 세어 3을 반환한다. len은 문자열, 리스트, dict 같은 객체의 길이나 항목 수를 알려 준다. 반복문 전에 데이터가 비었는지 확인하거나 결과 개수를 점검할 때 자주 쓴다."""	"""items 리스트에는 원소가 3개 있으므로 len(items)는 3을 반환한다. len()이 세는 대상은 자료형마다 다르다. 문자열에서는 문자 수, 리스트에서는 원소 수, dict에서는 key 수를 센다. 따라서 dict의 값 자체나 숫자의 크기를 재는 함수로 오해하면 안 된다. 반복문 전에 데이터가 비었는지 확인하거나 처리 결과의 개수를 점검할 때 자주 쓴다."""
lesson	L01_len_001	PILOT_01	en	data_i18n/en/lessons/cards_seed_v1.json	explanation	"""Since the `items` list contains three values, `len(items)` counts the number of elements in the list and returns 3. `len` returns the length or number of items in objects such as strings, lists, and dictionaries. It is often used to check if data is empty before a loop or to verify the number of results."""	"""The `items` list contains three elements, so `len(items)` returns 3. What `len()` counts depends on the object: characters in a string, elements in a list, and keys in a dictionary. It does not measure a dictionary's values themselves or the magnitude of a number. `len()` is often used to check whether data is empty before a loop or to verify how many results were produced."""
lesson	PYV96_A1_REVIEW_002_PRINT_STRING_NUMBER	PILOT_01	ko	data/lessons/python_beginner_mixed_review_v96_a1.json	explanation	"""둘 다 화면에는 3으로 보이지만 하나는 문자열이고 하나는 숫자다. 이 문제는 초급 파이썬 코드를 한 줄씩 읽는 복습 문제다. 정답을 고를 때는 문법 이름을 외우는 것보다 실행 순서, 변수의 현재 값, 조건의 True/False, 반복 중 바뀌는 값, 자료구조에 남는 값을 확인해야 한다. 특히 print되는 값과 변수에 저장되는 값은 다를 수 있고, 함수는 호출될 때 실행되어 return 값을 돌려준다."""	"""첫 줄의 x에는 문자열 \""3\""이, 둘째 줄의 y에는 정수 3이 저장된다. print는 문자열의 따옴표나 정수라는 자료형 표시를 붙이지 않으므로 두 줄 모두 화면에는 3으로 보인다. 따라서 출력 순서는 ‘3 다음 3’이다. 다만 모양만 같을 뿐 자료형은 서로 달라서 x + x는 \""33\""이 되고 y + y는 6이 된다."""
lesson	PYV96_A1_REVIEW_002_PRINT_STRING_NUMBER	PILOT_01	ko	data/lessons/python_beginner_mixed_review_v96_a1.json	reading_goal	"""문자열 3과 숫자 3이 화면에는 비슷하게 보일 수 있음을 읽는다. 특히 처음값, 중간에 바뀐 값, 마지막 출력 줄을 구분하고, 리스트 인덱스와 딕셔너리 key, 함수 호출과 return 흐름을 함께 확인한다."""	"""화면에 똑같이 3으로 보이더라도 문자열 \""3\""과 정수 3의 자료형은 다르다는 점을 읽는다."""
lesson	PYV96_A1_REVIEW_002_PRINT_STRING_NUMBER	PILOT_01	en	data_i18n/en/lessons/python_beginner_mixed_review_v96_a1.json	answer	"""3 Next 3"""	"""3, then 3"""
lesson	PYV96_A1_REVIEW_002_PRINT_STRING_NUMBER	PILOT_01	en	data_i18n/en/lessons/python_beginner_mixed_review_v96_a1.json	choices	"[""6"", ""x Next y"", ""Error"", ""3 Next 3""]"	"[""6"", ""x Next y"", ""Error"", ""3, then 3""]"
lesson	PYV96_A1_REVIEW_002_PRINT_STRING_NUMBER	PILOT_01	en	data_i18n/en/lessons/python_beginner_mixed_review_v96_a1.json	explanation	"""Both appear as \""3\"" on the screen, but one is a string and the other is a number. This is a review exercise for reading beginner-level Python code line by line. When selecting the correct answer, rather than memorizing syntax names, you should check the execution order, the current values of variables, whether conditions are True or False, values that change during loops, and values retained in data structures. In particular, the values printed to the screen and those stored in variables may differ, and functions execute when called and return a value."""	"""The first line stores the string \""3\"" in `x`, while the second stores the integer 3 in `y`. `print` does not add quotation marks or a data-type label, so both lines display 3. The output order is therefore ‘3, then 3’. The values only look the same: `x + x` produces \""33\"", while `y + y` produces 6."""
lesson	PYV96_A1_REVIEW_002_PRINT_STRING_NUMBER	PILOT_01	en	data_i18n/en/lessons/python_beginner_mixed_review_v96_a1.json	reading_goal	"""Note that the string \""3\"" and the number \""3\"" may look similar on the screen. In particular, distinguish between the initial value, the value that changed midway, and the final output line, and check the list indices, dictionary keys, function calls, and return flow together."""	"""Recognize that the string \""3\"" and the integer 3 have different data types even though both appear as 3 on the screen."""
lesson	PYV96_A1_REVIEW_015_FOR_SUM	PILOT_01	ko	data/lessons/python_beginner_mixed_review_v96_a1.json	explanation	"""0에 1, 2, 3이 차례로 더해져 6이 된다. 이 문제는 초급 파이썬 코드를 한 줄씩 읽는 복습 문제다. 정답을 고를 때는 문법 이름을 외우는 것보다 실행 순서, 변수의 현재 값, 조건의 True/False, 반복 중 바뀌는 값, 자료구조에 남는 값을 확인해야 한다. 특히 print되는 값과 변수에 저장되는 값은 다를 수 있고, 함수는 호출될 때 실행되어 return 값을 돌려준다."""	"""total은 0에서 시작한다. 첫 반복에서 n=1이 되어 total은 1, 다음에는 n=2라서 3, 마지막에는 n=3이라서 6이 된다. 반복이 끝난 뒤 print(total)이 현재 값 6을 출력한다. 123이 아닌 이유는 숫자를 이어 붙인 것이 아니라 매번 덧셈 결과를 total에 다시 저장했기 때문이다."""
lesson	PYV96_A1_REVIEW_015_FOR_SUM	PILOT_01	ko	data/lessons/python_beginner_mixed_review_v96_a1.json	reading_goal	"""반복마다 total이 어떻게 바뀌는지 따라가며 합계를 계산한다. 특히 처음값, 중간에 바뀐 값, 마지막 출력 줄을 구분하고, 리스트 인덱스와 딕셔너리 key, 함수 호출과 return 흐름을 함께 확인한다."""	"""for 반복마다 n이 바뀌고 total에 누적되는 값을 차례대로 추적한다."""
