rank	file	index	id	title	answer	status_from_v318	action_from_v318	reason_from_v318
1	data/lessons/python_foundation_beginner_v94_a1_part1.json	4	PYF94_A1_L01_PRINT_004	두 줄 출력 순서 읽기	A 다음 B	POTENTIAL_MISSED_SHORT_RESULT	REVIEW_AND_PATCH	짧은 출력/결과 정답인데 현재 explanation에 정답 표현이 직접 보이지 않음
2	data/lessons/python_foundation_beginner_v94_a1_part1.json	17	PYF94_A1_L01_VAR_005	숫자 변수 계산하기	4가 출력된다	POTENTIAL_MISSED_SHORT_RESULT	REVIEW_AND_PATCH	짧은 출력/결과 정답인데 현재 explanation에 정답 표현이 직접 보이지 않음
3	data/lessons/python_foundation_level2_v94_a2_part1.json	7	PYF94_A2_L02_IF_007	값 있는 문자열 조건	있음	POTENTIAL_MISSED_SHORT_RESULT	REVIEW_AND_PATCH	짧은 출력/결과 정답인데 현재 explanation에 정답 표현이 직접 보이지 않음
4	data/lessons/python_foundation_level2_v94_a2_part1.json	24	PYF94_A2_L02_LIST_008	빈 리스트 조건	없음	POTENTIAL_MISSED_SHORT_RESULT	REVIEW_AND_PATCH	짧은 출력/결과 정답인데 현재 explanation에 정답 표현이 직접 보이지 않음
5	data/lessons/python_foundation_level2_v94_a2_part1.json	25	PYF94_A2_L02_LIST_009	값 있는 리스트 조건	있음	POTENTIAL_MISSED_SHORT_RESULT	REVIEW_AND_PATCH	짧은 출력/결과 정답인데 현재 explanation에 정답 표현이 직접 보이지 않음
6	data/lessons/python_foundation_level2_v94_a2_part2.json	1	PYF94_A2_L02_LOOP_001	리스트 반복 출력	A 다음 B	POTENTIAL_MISSED_SHORT_RESULT	REVIEW_AND_PATCH	짧은 출력/결과 정답인데 현재 explanation에 정답 표현이 직접 보이지 않음
7	data/lessons/python_foundation_level2_v94_a2_part2.json	8	PYF94_A2_L02_LOOP_008	반복 후 바깥 출력	A, B, end	POTENTIAL_MISSED_SHORT_RESULT	REVIEW_AND_PATCH	짧은 출력/결과 정답인데 현재 explanation에 정답 표현이 직접 보이지 않음
8	data/lessons/python_foundation_level2_v94_a2_part2.json	10	PYF94_A2_L02_LOOP_010	조건과 반복 결합	[3, 4]만 남는다	POTENTIAL_MISSED_SHORT_RESULT	REVIEW_AND_PATCH	짧은 출력/결과 정답인데 현재 explanation에 정답 표현이 직접 보이지 않음
9	data/lessons/python_foundation_level2_v94_a2_part2.json	16	PYF94_A2_L02_LOOP_016	반복 중 continue	[1, 3]	POTENTIAL_MISSED_SHORT_RESULT	REVIEW_AND_PATCH	짧은 출력/결과 정답인데 현재 explanation에 정답 표현이 직접 보이지 않음
10	data/lessons/python_foundation_level2_v94_a2_part2.json	25	PYF94_A2_L02_STR_009	lower 후 비교	True	POTENTIAL_MISSED_SHORT_RESULT	REVIEW_AND_PATCH	짧은 출력/결과 정답인데 현재 explanation에 정답 표현이 직접 보이지 않음
11	data/lessons/python_foundation_level2_v94_a2_part2.json	31	PYF94_A2_L02_STR_015	문자열 길이와 split 개수	3 다음 2	POTENTIAL_MISSED_SHORT_RESULT	REVIEW_AND_PATCH	짧은 출력/결과 정답인데 현재 explanation에 정답 표현이 직접 보이지 않음
