file	index	id	title	old_reading_goal	new_reading_goal
data/lessons/cards_seed_v1.json	1	L01_len_001	len()으로 개수 읽기	‘len(items)가 리스트의 개수를 구한다는 것을 읽는다’라는 목표를 바탕으로, 코드 단서와 실행 이유를 함께 구분하는 연습입니다.	len(items)가 리스트의 개수를 구한다는 것을 읽는다.
data/lessons/cards_seed_v1.json	2	L02_var_flow_001	변수에 들어간 값 따라가기	‘변수에 저장된 값이 다음 줄에서 사용되는 흐름을 읽는다’라는 목표를 바탕으로, 코드 단서와 실행 이유를 함께 구분하는 연습입니다.	변수에 저장된 값이 다음 줄에서 사용되는 흐름을 읽는다.
data/lessons/cards_seed_v1.json	3	L03_dict_001	dict에서 key로 값 꺼내기	"‘node[""kind""]가 kind 값을 꺼낸다는 것을 읽는다’라는 목표를 바탕으로, 코드 단서와 실행 이유를 함께 구분하는 연습입니다."	"node[""kind""]가 kind 값을 꺼낸다는 것을 읽는다."
data/lessons/cards_seed_v1.json	5	L04_for_if_001	for와 if로 원하는 항목 고르기	‘반복문과 조건문으로 Sensor 노드만 고르는 흐름을 읽는다’라는 목표를 바탕으로, 코드 단서와 실행 이유를 함께 구분하는 연습입니다.	반복문과 조건문으로 Sensor 노드만 고르는 흐름을 읽는다.
data/lessons/cards_seed_v1.json	9	L07_pipeline_001	load-filter-write 구조 읽기	‘입력, 처리, 출력으로 나뉜 작은 프로그램 구조를 읽는다’라는 목표를 바탕으로, 코드 단서와 실행 이유를 함께 구분하는 연습입니다.	입력, 처리, 출력으로 나뉜 작은 프로그램 구조를 읽는다.
data/lessons/cards_seed_v1.json	11	L09_function_selection_001	기능 목표에서 필요한 함수 고르기	‘기능 구현에 필요한 함수와 모듈 조합을 고른다’라는 목표를 바탕으로, 코드 단서와 실행 이유를 함께 구분하는 연습입니다.	기능 구현에 필요한 함수와 모듈 조합을 고른다.
data/lessons/cards_seed_v1.json	12	L10_risk_001	불안정한 코드 위험 찾기	‘실제 프로젝트 코드에서 실패 가능성이 있는 지점을 찾는다’라는 목표를 바탕으로, 코드 단서와 실행 이유를 함께 구분하는 연습입니다.	실제 프로젝트 코드에서 실패 가능성이 있는 지점을 찾는다.
data/lessons/python_accessibility_a11y_ui_v52.json	6	PY52_L08_color_contrast_001	color contrast 읽기	‘글자와 배경의 대비가 충분해야 읽기 쉽다는 점을 이해한다’라는 목표를 바탕으로, 코드 단서와 실행 이유를 함께 구분하는 연습입니다.	글자와 배경의 대비가 충분해야 읽기 쉽다는 점을 이해한다.
data/lessons/python_accessibility_a11y_ui_v52.json	9	PY52_L08_form_label_001	form label 읽기	‘입력창에는 label이 필요하다는 점을 이해한다’라는 목표를 바탕으로, 코드 단서와 실행 이유를 함께 구분하는 연습입니다.	입력창에는 label이 필요하다는 점을 이해한다.
data/lessons/python_advanced_expansion_v5.json	1	PY5_L09_inheritance_001	상속과 메서드 재정의 읽기	‘자식 클래스가 부모 메서드를 덮어쓰는 흐름을 읽는다’라는 목표를 바탕으로, 코드 단서와 실행 이유를 함께 구분하는 연습입니다.	자식 클래스가 부모 메서드를 덮어쓰는 흐름을 읽는다.
data/lessons/python_advanced_expansion_v5.json	3	PY5_L09_decorator_wrapper_001	decorator wrapper 흐름 읽기	‘데코레이터가 함수 실행 전후에 동작을 추가하는 구조를 읽는다’라는 목표를 바탕으로, 코드 단서와 실행 이유를 함께 구분하는 연습입니다.	데코레이터가 함수 실행 전후에 동작을 추가하는 구조를 읽는다.
data/lessons/python_advanced_expansion_v5.json	4	PY5_L09_custom_context_001	직접 만든 context manager 읽기	‘with 진입과 종료 시 실행되는 메서드를 읽는다’라는 목표를 바탕으로, 코드 단서와 실행 이유를 함께 구분하는 연습입니다.	with 진입과 종료 시 실행되는 메서드를 읽는다.
data/lessons/python_advanced_expansion_v5.json	8	PY5_L09_fastapi_status_001	FastAPI status_code 읽기	‘엔드포인트가 성공 상태코드를 명시하는 구조를 읽는다’라는 목표를 바탕으로, 코드 단서와 실행 이유를 함께 구분하는 연습입니다.	엔드포인트가 성공 상태코드를 명시하는 구조를 읽는다.
data/lessons/python_advanced_expansion_v5.json	9	PY5_L09_fastapi_cors_001	FastAPI CORS 설정 읽기	‘브라우저의 다른 출처 요청 허용 설정을 읽는다’라는 목표를 바탕으로, 코드 단서와 실행 이유를 함께 구분하는 연습입니다.	브라우저의 다른 출처 요청 허용 설정을 읽는다.
data/lessons/python_advanced_expansion_v5.json	10	PY5_L09_sqlite_insert_001	sqlite INSERT 읽기	‘DB에 새 행을 넣고 commit하는 흐름을 읽는다’라는 목표를 바탕으로, 코드 단서와 실행 이유를 함께 구분하는 연습입니다.	DB에 새 행을 넣고 commit하는 흐름을 읽는다.
data/lessons/python_advanced_expansion_v5.json	12	PY5_L08_pandas_concat_001	pandas concat 읽기	‘두 DataFrame을 세로로 이어 붙이는 코드를 읽는다’라는 목표를 바탕으로, 코드 단서와 실행 이유를 함께 구분하는 연습입니다.	두 DataFrame을 세로로 이어 붙이는 코드를 읽는다.
data/lessons/python_advanced_expansion_v5.json	13	PY5_L08_pandas_drop_duplicates_001	drop_duplicates 읽기	‘특정 컬럼 기준으로 중복 행을 제거하는 코드를 읽는다’라는 목표를 바탕으로, 코드 단서와 실행 이유를 함께 구분하는 연습입니다.	특정 컬럼 기준으로 중복 행을 제거하는 코드를 읽는다.
data/lessons/python_advanced_expansion_v5.json	14	PY5_L08_pandas_pivot_001	pivot_table 읽기	‘그룹별 평균 같은 요약표를 만드는 코드를 읽는다’라는 목표를 바탕으로, 코드 단서와 실행 이유를 함께 구분하는 연습입니다.	그룹별 평균 같은 요약표를 만드는 코드를 읽는다.
data/lessons/python_advanced_expansion_v5.json	15	PY5_L08_numpy_axis_001	numpy axis 읽기	‘axis=0이 열 방향 집계라는 것을 읽는다’라는 목표를 바탕으로, 코드 단서와 실행 이유를 함께 구분하는 연습입니다.	axis=0이 열 방향 집계라는 것을 읽는다.
data/lessons/python_advanced_expansion_v5.json	16	PY5_L08_numpy_broadcast_001	broadcasting 읽기	‘작은 배열이 큰 배열의 각 행에 맞춰 더해지는 구조를 읽는다’라는 목표를 바탕으로, 코드 단서와 실행 이유를 함께 구분하는 연습입니다.	작은 배열이 큰 배열의 각 행에 맞춰 더해지는 구조를 읽는다.
data/lessons/python_advanced_expansion_v5.json	17	PY5_L10_chunk_loop_001	chunk 생성 루프 읽기	‘긴 텍스트를 일정 크기 조각으로 나누는 흐름을 읽는다’라는 목표를 바탕으로, 코드 단서와 실행 이유를 함께 구분하는 연습입니다.	긴 텍스트를 일정 크기 조각으로 나누는 흐름을 읽는다.
data/lessons/python_advanced_expansion_v5.json	18	PY5_L10_evidence_attach_001	evidence id 부착 흐름 읽기	‘답변에 사용한 문서 id 목록을 함께 붙이는 구조를 읽는다’라는 목표를 바탕으로, 코드 단서와 실행 이유를 함께 구분하는 연습입니다.	답변에 사용한 문서 id 목록을 함께 붙이는 구조를 읽는다.
data/lessons/python_advanced_expansion_v5.json	21	PY5_L10_failure_summary_001	실패 원인 집계 읽기	‘실패 row들의 reason을 세어 요약하는 코드를 읽는다’라는 목표를 바탕으로, 코드 단서와 실행 이유를 함께 구분하는 연습입니다.	실패 row들의 reason을 세어 요약하는 코드를 읽는다.
data/lessons/python_ai_learning_methods_v14.json	2	PY14_L07_supervised_learning_001	지도학습 코드 흐름 읽기	‘입력 x와 정답 y를 함께 쓰는 학습 흐름을 읽는다’라는 목표를 바탕으로, 코드 단서와 실행 이유를 함께 구분하는 연습입니다.	입력 x와 정답 y를 함께 쓰는 학습 흐름을 읽는다.
data/lessons/python_ai_learning_methods_v14.json	3	PY14_L07_unsupervised_learning_001	비지도학습 감각 읽기	‘정답 label 없이 데이터 구조를 찾는 방식을 이해한다’라는 목표를 바탕으로, 코드 단서와 실행 이유를 함께 구분하는 연습입니다.	정답 label 없이 데이터 구조를 찾는 방식을 이해한다.
data/lessons/python_ai_learning_methods_v14.json	4	PY14_L08_self_supervised_001	자기지도학습 개념 읽기	‘원본 데이터 자체에서 학습 신호를 만드는 방식을 이해한다’라는 목표를 바탕으로, 코드 단서와 실행 이유를 함께 구분하는 연습입니다.	원본 데이터 자체에서 학습 신호를 만드는 방식을 이해한다.
data/lessons/python_ai_learning_methods_v14.json	5	PY14_L08_reinforcement_learning_001	강화학습 흐름 읽기	‘행동과 보상을 통해 정책을 개선하는 구조를 이해한다’라는 목표를 바탕으로, 코드 단서와 실행 이유를 함께 구분하는 연습입니다.	행동과 보상을 통해 정책을 개선하는 구조를 이해한다.
